time,open,high,low,close,tick_volume,spread,real_volume
1654536600,110595.0,110780.0,110570.0,110690.0,76871,5,272103
1654592400,110190.0,110610.0,109925.0,110485.0,353880,5,941033
1654594200,110485.0,110490.0,109745.0,109820.0,411129,5,1157942
1654596000,109815.0,110210.0,109620.0,109960.0,546304,5,1661540
1654597800,109965.0,110710.0,109825.0,110250.0,603118,5,1889676
1654599600,110250.0,110400.0,109830.0,110240.0,404325,5,1246182
1654601400,110245.0,110620.0,110045.0,110575.0,316547,5,1006189
1654603200,110575.0,110690.0,110230.0,110305.0,254118,5,823744
1654605000,110305.0,110650.0,110195.0,110425.0,221523,5,728189
1654606800,110430.0,110565.0,110305.0,110505.0,155050,5,500567
1654608600,110510.0,110645.0,110440.0,110590.0,134341,5,427125
1654610400,110595.0,110610.0,110290.0,110335.0,175011,5,606857
1654612200,110330.0,110365.0,110030.0,110265.0,207098,5,725066
1654614000,110265.0,110580.0,110200.0,110560.0,193234,5,699916
1654615800,110560.0,110695.0,110315.0,110480.0,200033,5,703772
1654617600,110480.0,110570.0,110450.0,110470.0,119828,5,428418
1654619400,110470.0,110480.0,110200.0,110275.0,188173,5,678382
1654621200,110270.0,110380.0,110110.0,110350.0,120312,5,414604
1654623000,110350.0,110455.0,110200.0,110350.0,68166,5,222419
1654678800,110125.0,110200.0,109285.0,109300.0,384330,5,1017563
1654680600,109300.0,109460.0,109215.0,109320.0,265044,5,789063
1654682400,109325.0,109710.0,109175.0,109635.0,438424,5,1357741
1654684200,109630.0,110375.0,109600.0,110260.0,484620,5,1575322
1654686000,110255.0,110310.0,109570.0,109665.0,383466,5,1287976
1654687800,109665.0,109840.0,109520.0,109610.0,313692,5,1008948
1654689600,109605.0,109705.0,109420.0,109650.0,222509,5,740152
1654691400,109650.0,109970.0,109590.0,109940.0,211804,5,713977
1654693200,109935.0,110110.0,109650.0,109745.0,207345,5,716996
1654695000,109745.0,109760.0,109045.0,109350.0,269617,5,945459
1654696800,109350.0,109510.0,109205.0,109350.0,200284,5,688904
1654698600,109350.0,109410.0,109070.0,109200.0,242622,5,840056
1654700400,109200.0,109350.0,108485.0,108520.0,316417,5,1159787
1654702200,108515.0,108690.0,108315.0,108530.0,244178,5,882734
1654704000,108535.0,108790.0,108215.0,108615.0,226631,5,828846
1654705800,108610.0,108845.0,108450.0,108465.0,219968,5,801325
1654707600,108460.0,108740.0,108375.0,108705.0,108032,5,370920
1654709400,108700.0,108900.0,108665.0,108860.0,56693,5,182427
1654765200,109175.0,109445.0,108310.0,108405.0,446294,5,1199153
1654767000,108410.0,108565.0,107825.0,108245.0,508298,5,1465150
1654768800,108245.0,108280.0,107670.0,107780.0,519906,5,1550895
1654770600,107780.0,108400.0,107355.0,108370.0,581857,5,1827763
1654772400,108370.0,108760.0,108180.0,108215.0,541835,5,1671221
1654774200,108215.0,108400.0,108000.0,108005.0,353595,5,1134292
1654776000,108005.0,108070.0,107685.0,107690.0,281867,5,904330
1654777800,107690.0,107990.0,107675.0,107855.0,239629,5,743503
1654779600,107855.0,108245.0,107840.0,108070.0,232700,5,710254
1654781400,108065.0,108325.0,108050.0,108265.0,214619,5,691968
1654783200,108270.0,108400.0,108035.0,108135.0,220585,5,723562
1654785000,108130.0,108255.0,108010.0,108175.0,206336,5,694773
1654786800,108175.0,108320.0,107995.0,108120.0,222752,5,748229
1654788600,108120.0,108230.0,107925.0,108000.0,236051,5,793200
1654790400,108000.0,108025.0,107400.0,107410.0,280176,5,950101
1654792200,107410.0,107530.0,107160.0,107350.0,284447,5,972729
1654794000,107350.0,107625.0,107275.0,107570.0,153110,5,491702
1654795800,107565.0,107765.0,107530.0,107705.0,65547,5,221485
1654851600,107850.0,108030.0,107355.0,107465.0,473807,5,1098999
1654853400,107460.0,107495.0,105960.0,106185.0,819725,5,2078333
1654855200,106190.0,106310.0,104685.0,104935.0,602031,5,1737207
1654857000,104930.0,105525.0,104770.0,105505.0,532172,5,1490327
1654858800,105505.0,105525.0,105045.0,105100.0,377655,5,1092998
1654860600,105100.0,105635.0,104970.0,105370.0,355139,5,1061747
1654862400,105370.0,105710.0,105305.0,105450.0,278030,5,891800
1654864200,105450.0,105710.0,105265.0,105665.0,244307,5,762036
1654866000,105670.0,106130.0,105660.0,105870.0,314522,5,1023760
1654867800,105870.0,106075.0,105700.0,105830.0,212022,5,667174
1654869600,105825.0,106020.0,105720.0,106005.0,209215,5,672160
1654871400,106005.0,106110.0,105710.0,105710.0,259909,5,850355
1654873200,105710.0,106180.0,105590.0,106030.0,266419,5,915740
1654875000,106025.0,106250.0,105825.0,105930.0,237890,5,783928
1654876800,105930.0,106010.0,105665.0,105845.0,235202,5,767802
1654878600,105840.0,105940.0,105515.0,105550.0,254333,5,826901
1654880400,105550.0,105750.0,105470.0,105645.0,136184,5,419243
1654882200,105650.0,105725.0,105410.0,105450.0,72369,5,208837
1655110800,103600.0,103795.0,103125.0,103755.0,376284,5,961200
1655112600,103760.0,103950.0,103535.0,103540.0,400684,5,1122234
1655114400,103540.0,104045.0,103315.0,103410.0,540617,5,1551846
1655116200,103410.0,103750.0,102480.0,102535.0,638057,5,1944431
1655118000,102535.0,102725.0,101760.0,101995.0,475923,5,1458488
1655119800,101995.0,102545.0,101790.0,102510.0,391675,5,1172321
1655121600,102505.0,103050.0,102365.0,102830.0,332785,5,1060225
1655123400,102830.0,103435.0,102760.0,103150.0,356428,5,1149463
