time,open,high,low,close,tick_volume,spread,real_volume
1665748800,115855.0,116165.0,114685.0,114770.0,2079780,5,6960744
1665763200,114770.0,114985.0,113675.0,113830.0,804562,5,2641509
1665993600,115000.0,115790.0,114425.0,115735.0,2258126,5,7044384
1666008000,115740.0,116515.0,115725.0,116245.0,1590148,5,5520073
1666022400,116245.0,116390.0,115670.0,115910.0,563016,5,2069917
1666080000,116945.0,117725.0,116500.0,116930.0,2259770,5,7453123
1666094400,116930.0,117250.0,116205.0,117090.0,2041091,5,7152339
1666108800,117090.0,118260.0,116880.0,118150.0,796775,5,2866747
1666166400,117500.0,118360.0,117140.0,117835.0,2481473,5,8171758
1666180800,117835.0,118170.0,117615.0,117865.0,1779587,5,6454967
1666195200,117865.0,118565.0,117785.0,118255.0,736902,5,2667308
1666252800,118860.0,119680.0,118760.0,119415.0,2295978,5,7475141
1666267200,119415.0,119415.0,118465.0,119055.0,1833329,5,6560855
1666281600,119055.0,119360.0,118830.0,118950.0,617818,5,2372462
1666339200,118385.0,120425.0,118280.0,120135.0,2622902,5,8631016
1666353600,120135.0,121775.0,119855.0,121640.0,1899171,5,6660707
1666368000,121645.0,122825.0,121590.0,122370.0,776819,5,2951243
1666598400,121825.0,121835.0,118870.0,119365.0,2737091,5,8143711
1666612800,119365.0,119460.0,117665.0,117740.0,2149017,5,7943014
1666627200,117740.0,118280.0,117705.0,118050.0,646472,5,2293166
1666684800,118020.0,118675.0,116470.0,117480.0,2548554,5,7631118
1666699200,117480.0,118080.0,116750.0,116780.0,1661781,5,5605775
1666713600,116780.0,116975.0,116040.0,116150.0,630084,5,2268623
1666771200,116395.0,116830.0,114640.0,115050.0,2689139,5,7742347
1666785600,115050.0,116175.0,114525.0,114615.0,2041068,5,6571691
1666800000,114610.0,115250.0,114195.0,115250.0,697431,5,2394471
1666857600,114900.0,116035.0,114300.0,115225.0,3257612,5,9062471
1666872000,115220.0,116425.0,115200.0,115985.0,1983098,5,6712388
1666886400,115985.0,118215.0,114625.0,115615.0,1317824,5,4165883
1666944000,114465.0,116280.0,114415.0,115460.0,2850186,5,7904547
1666958400,115465.0,116430.0,115310.0,115930.0,1808037,5,6104355
1666972800,115930.0,117100.0,115605.0,117045.0,905758,5,3001220
1667203200,113000.0,118450.0,112500.0,117295.0,3189385,5,9142272
1667217600,117290.0,117345.0,115050.0,116740.0,2558602,5,8115802
1667232000,116740.0,117995.0,116595.0,117440.0,985706,5,3114709
1667289600,118105.0,119265.0,116995.0,118080.0,3275835,5,8246112
1667304000,118080.0,119580.0,117770.0,119285.0,2290069,5,6749178
1667318400,119290.0,119920.0,116985.0,117410.0,1292680,5,3263081
1667462400,115865.0,118035.0,115490.0,117955.0,2692397,5,7121349
1667476800,117960.0,118940.0,117700.0,118790.0,1740363,5,5369024
1667491200,118785.0,118970.0,118280.0,118465.0,670272,5,2091990
1667548800,120115.0,121545.0,119520.0,121270.0,3059801,5,7930288
1667563200,121270.0,121605.0,119855.0,120240.0,2244232,5,6951321
1667577600,120240.0,120240.0,118900.0,119270.0,892618,5,2725412
1667808000,120045.0,120280.0,117150.0,117455.0,2759131,5,7453009
1667822400,117450.0,117930.0,116860.0,117260.0,2042800,5,6093203
1667836800,117255.0,117430.0,116370.0,116680.0,857583,5,2662234
1667894400,116740.0,117455.0,115220.0,116740.0,2713140,5,7484288
1667908800,116740.0,118590.0,116620.0,117715.0,2196491,5,7001750
1667923200,117710.0,117955.0,116650.0,117855.0,1191036,5,3666509
1667980800,116900.0,117225.0,116015.0,116890.0,2572174,5,6735296
1667995200,116890.0,117425.0,115135.0,115330.0,2140460,5,6525828
1668009600,115325.0,115465.0,114255.0,114855.0,993359,5,3341360
1668067200,114155.0,114155.0,110655.0,111510.0,3282169,5,7755805
1668081600,111505.0,112245.0,109795.0,110070.0,2468115,5,6512180
1668096000,110080.0,111100.0,109530.0,111060.0,1133330,5,3237716
1668153600,111985.0,112555.0,110175.0,111830.0,3096725,5,7518142
1668168000,111825.0,114265.0,111570.0,113840.0,2532125,5,7121900
1668182400,113840.0,114060.0,112865.0,113635.0,889214,5,2610320
1668412800,113155.0,114995.0,112760.0,113210.0,2853072,5,7064921
1668427200,113210.0,114515.0,113100.0,114225.0,2063494,5,6096638
